Command,Runtime,Memory usage,File size
"./tap.exe run -e Parameters \ Count=0 -e Parameters \ Results \ Point Count=1000 .\Benchmark.TapPlan --results Memory", 52ms, 9354264B,0B
"./tap.exe run -e Parameters \ Count=0 -e Parameters \ Results \ Point Count=1000 .\Benchmark.TapPlan --results Spreadsheet,Memory", 430ms, 11887848B,2563B
"./tap.exe run -e Parameters \ Count=0 -e Parameters \ Results \ Point Count=1000 .\Benchmark.TapPlan --results CSV,Memory", 71ms, 9437208B,0B
"./tap.exe run -e Parameters \ Count=0 -e Parameters \ Results \ Point Count=1000 .\Benchmark.TapPlan --results SQLite,Memory", 245ms, 10515496B,86016B
"./tap.exe run -e Parameters \ Count=0 -e Parameters \ Results \ Point Count=1000 .\Benchmark.TapPlan --results Parquet,Memory", 275ms, 11797968B,7683B
"./tap.exe run -e Parameters \ Count=0 -e Parameters \ Results \ Point Count=1000 .\Benchmark.TapPlan --results ParquetMerge,Memory", 341ms, 13157008B,7683B
"./tap.exe run -e Parameters \ Count=1 -e Parameters \ Results \ Point Count=1000 .\Benchmark.TapPlan --results Memory", 112ms, 9347208B,0B
"./tap.exe run -e Parameters \ Count=1 -e Parameters \ Results \ Point Count=1000 .\Benchmark.TapPlan --results Spreadsheet,Memory", 598ms, 19905496B,77542B
"./tap.exe run -e Parameters \ Count=1 -e Parameters \ Results \ Point Count=1000 .\Benchmark.TapPlan --results CSV,Memory", 116ms, 10927480B,65834B
"./tap.exe run -e Parameters \ Count=1 -e Parameters \ Results \ Point Count=1000 .\Benchmark.TapPlan --results SQLite,Memory", 269ms, 12344360B,118784B
"./tap.exe run -e Parameters \ Count=1 -e Parameters \ Results \ Point Count=1000 .\Benchmark.TapPlan --results Parquet,Memory", 338ms, 12848728B,20849B
"./tap.exe run -e Parameters \ Count=1 -e Parameters \ Results \ Point Count=1000 .\Benchmark.TapPlan --results ParquetMerge,Memory", 423ms, 13928912B,18824B
"./tap.exe run -e Parameters \ Count=10 -e Parameters \ Results \ Point Count=1000 .\Benchmark.TapPlan --results Memory", 105ms, 9726728B,0B
"./tap.exe run -e Parameters \ Count=10 -e Parameters \ Results \ Point Count=1000 .\Benchmark.TapPlan --results Spreadsheet,Memory", 1641ms, 128365696B,742432B
"./tap.exe run -e Parameters \ Count=10 -e Parameters \ Results \ Point Count=1000 .\Benchmark.TapPlan --results CSV,Memory", 254ms, 12784080B,657835B
"./tap.exe run -e Parameters \ Count=10 -e Parameters \ Results \ Point Count=1000 .\Benchmark.TapPlan --results SQLite,Memory", 328ms, 14980720B,434176B
"./tap.exe run -e Parameters \ Count=10 -e Parameters \ Results \ Point Count=1000 .\Benchmark.TapPlan --results Parquet,Memory", 355ms, 13437712B,107224B
"./tap.exe run -e Parameters \ Count=10 -e Parameters \ Results \ Point Count=1000 .\Benchmark.TapPlan --results ParquetMerge,Memory", 536ms, 20502088B,113726B
"./tap.exe run -e Parameters \ Count=100 -e Parameters \ Results \ Point Count=1000 .\Benchmark.TapPlan --results Memory", 333ms, 12852728B,0B
"./tap.exe run -e Parameters \ Count=100 -e Parameters \ Results \ Point Count=1000 .\Benchmark.TapPlan --results Spreadsheet,Memory", 18040ms, 1161727928B,7405157B
